Sum of Value,Column Labels,,,,,,ID,Longitude,Latitude,,,,,,,,,,
ASN00001006,206,391,236,833,,,ASN00001006,-15.51,128.1503,,,,,,,,,,
ASN00001010,0,0,0,0,,,ASN00001007,-13.7542,126.1485,,,,,,,,,,
ASN00001014,43,0,0,43,,,ASN00001010,-14.7883,126.4964,,,,,,,,,,
ASN00001023,26,0,0,26,,,ASN00001014,-15.9078,128.1289,,,,,,,,,,
ASN00001035,0,0,0,0,,,ASN00001019,-14.2964,126.6453,,,,,,,,,,
ASN00002023,50,0,0,50,,,ASN00001020,-14.09,126.3867,,,,,,,,,,
ASN00002030,18,0,0,18,,,ASN00001023,-16.0086,127.9806,,,,,,,,,,
ASN00002044,50,0,0,50,,,ASN00001024,-15.9572,127.0628,,,,,,,,,,
ASN00002048,130,0,0,130,,,ASN00001026,-15.7025,126.3786,,,,,,,,,,
ASN00002051,142,0,0,142,,,ASN00001027,-15.6394,128.0803,,,,,,,,,,
ASN00002053,0,0,0,0,,,ASN00001035,-15.5969,128.2781,,,,,,,,,,
ASN00002069,12,0,0,12,,,ASN00002009,-16.4203,126.4411,,,,,,,,,,
ASN00004083,0,400,277,677,,,ASN00002021,-18.3869,126.9892,,,,,,,,,,
ASN00007045,0,399,226,625,,,ASN00002022,-18.016,126.3033,,,,,,,,,,
ASN00007081,0,0,0,0,,,ASN00002023,-18.0308,128.8942,,,,,,,,,,
ASN00007139,0,366,216,582,,,ASN00002030,-17.2964,126.915,,,,,,,,,,
ASN00008137,0,337,155,492,,,ASN00002036,-17.3922,126.2306,,,,,,,,,,
ASN00008297,0,336,162,498,,,ASN00002043,-18.3368,126.1243,,,,,,,,,,
ASN00008309,0,0,0,0,,,ASN00002044,-16.1119,128.7414,,,,,,,,,,
ASN00008310,0,0,0,0,,,ASN00002048,-18.2972,128.4419,,,,,,,,,,
ASN00009037,0,333,177,510,,,ASN00002049,-18.1947,127.8147,,,,,,,,,,
ASN00009039,0,0,0,0,,,ASN00002051,-19.5561,127.6644,,,,,,,,,,
ASN00009066,0,0,0,0,,,ASN00002053,-17.6133,126.7442,,,,,,,,,,
ASN00009131,0,266,184,450,,,ASN00002056,-15.7814,128.71,,,,,,,,,,
ASN00009178,0,300,165,465,,,ASN00002060,-16.0397,128.415,,,,,,,,,,
ASN00009240,0,295,139,434,,,ASN00002064,-16.6381,128.4517,,,,,,,,,,
ASN00009260,0,0,0,0,,,ASN00002067,-15.9816,128.9991,,,,,,,,,,
ASN00009519,0,295,147,442,,,ASN00002069,-16.4433,127.7836,,,,,,,,,,
ASN00009538,0,295,140,435,,,ASN00003003,-17.9475,122.2353,,,,,,,,,,
ASN00009626,0,0,0,0,,,ASN00010031,-31.3742,117.5861,,,,,,,,,,
ASN00009978,0,0,0,0,,,ASN00003030,-18.6844,121.7803,,,,,,,,,,
ASN00009990,0,0,0,0,,,ASN00003032,-17.3706,123.6611,,,,,,,,,,
ASN00009992,0,0,0,0,,,ASN00003051,-16.7372,125.9086,,,,,,,,,,
ASN00010502,0,0,0,0,,,ASN00003052,-16.8206,124.9158,,,,,,,,,,
ASN00010511,0,0,0,0,,,ASN00003057,-16.4514,123.0086,,,,,,,,,,
ASN00010536,0,0,0,0,,,ASN00003080,-17.5736,123.8217,,,,,,,,,,
ASN00011053,0,265,172,437,,,ASN00003093,-18.1814,125.5619,,,,,,,,,,
ASN00013015,114,420,198,732,,,ASN00003098,-17.0549,125.7108,,,,,,,,,,
ASN00013030,6,437,277,720,,,ASN00004019,-19.7419,120.8436,,,,,,,,,,
ASN00014256,0,0,0,0,,,ASN00004032,-20.3725,118.6317,,,,,,,,,,
ASN00014621,0,0,0,0,,,ASN00004083,-20.7097,116.7742,,,,,,,,,,
ASN00015594,0,0,240,240,,,ASN00004090,-20.7594,117.1583,,,,,,,,,,
